Name,geometry
The Khazneh,POINT (35.45165747346309 30.322140667741262)
Judean Desert oasis,POINT (35.3883044462243 31.46796597574907)
Barama River Region,POINT (-59.88868584357988 7.691592333197193)
West Lake,POINT (120.1490231081772 30.231362428843887)
Achaemenid Empire,POINT (50.19234597363677 34.231646362128686)
Japan - Tokugawa Era,POINT (136.12337738714234 35.5649153710194)
"Havasupai Reservation, 1918",POINT (-112.6133760793655 36.16012000088357)
Churches of Christ in the United States,POINT (-97.25720943344766 38.30836790594642)
Jebel Barkal,POINT (31.83350100045076 18.535231044819948)
Island of Ireland,POINT (-7.993632651052661 53.422692907163864)
Lakota Sioux Reservations as of 1890,POINT (-101.13521822048006 44.43230176741231)
South Sulawesi,POINT (120.17348115601179 -3.83376447831107)
Aztec Imperial Core,POINT (-99.15533304874958 19.458154794144733)
Talismanic Religion (200 BCE-500 CE)),POINT (105.4647828299592 34.33411811821679)
Tehuelche,POINT (-69.62652220045028 -47.10141195840359)
England,POINT (-1.3689976021525085 52.33099568382933)
Indonesia,POINT (119.41430720672926 -3.079970016312726)
Tibet (Tufan) - 669 CE,POINT (93.26244988718231 32.791585041586224)
Tboung Khmum or Tbong Khmum Province,POINT (105.74805230540056 11.795006572192612)
Romonum Island,POINT (151.66969027070985 7.410257033799338)
Traditional centers of the Parsis,POINT (72.94588752496425 20.68124874643268)
"Erlitou Yanshi,Henan",POINT (112.69686166905245 34.69147467593871)
"Constantinople, c800CE-1400CE",POINT (28.950990946062266 41.01162600781993)
Gujarat and the UK,POINT (5.776689428933528 49.723485079379664)
Religious Society of Friends (Quakers),POINT (-16.875013999999997 56.270863)
"Mirebalais, Haiti",POINT (-72.10707797279822 18.832113269014574)
Tyva Republic,POINT (94.7994412318908 51.57580104280222)
Global,POINT (25.694227115078714 2.2367017310041275)
Tawi-Tawi and adjacent islands,POINT (120.03060136289096 5.1708987776786)
Southern Egypt,POINT (31.625204085584162 22.33712263490134)
Qin Empire 210 BCE,POINT (114.28420694153168 34.71623709120387)
The Sanctuary of Apollo at Delphi,POINT (22.50041303913348 38.48239336196033)
Town of Chichicastenango,POINT (-91.10818596420502 14.936156789794245)
"Lesu village, New Ireland, ca.1930",POINT (150.98347370884917 -2.7443745938389275)
Church of Panagia Angeloktisti,POINT (33.570977167640336 34.847533836423665)
"Ranchi, Jharkhand",POINT (85.47914753568718 23.62256139632584)
"Tuban, East Java; Bonang Village, Lasem Subdistrict (Central Java)",POINT (111.75057993268607 -6.7874667678674685)
Hindu India and Nepal,POINT (78.6954337277142 22.50806749693182)
Peru and Utah,POINT (-80.04381533661918 -1.67238963419739)
Nigeria,POINT (7.8972769392208395 9.621581052333692)
China,POINT (113.65774328136509 30.097146721864615)
Goodenough Island - Northern D'Entrecasteaux,POINT (150.36370768604556 -9.421989053017356)
Yādiya/Sam'al,POINT (36.69950704863834 36.99605219617044)
Gujarat,POINT (71.57273748659122 22.705579592029462)
Germany,POINT (13.044600439115081 51.55842512015179)
"Egypt, sometimes Nubia (Sudan) and the Levant",POINT (31.74565322533448 23.58589804263909)
"Char region(Lakhimpur District, Assam)",POINT (94.21279089918902 27.125738344405615)
Al Balayzah,POINT (31.23232151691643 27.031904063822964)
Italy,POINT (12.057156102668781 42.32777363973195)
Tenochtitlan,POINT (-99.13155489913743 19.43386884424845)
Global Shinto Network,POINT (144.21440760122132 -89.65648867921948)
Roman Empire,POINT (17.078464507503117 39.09616910448377)
Free Methodist World Conference.,POINT (-43.66517242856935 24.28489990741094)
Marmaria,POINT (22.508196475645182 38.48023997656236)
"Thessaloniki, Basilica of Saint Demetrios",POINT (22.94777424794124 40.63879080350807)
North Sumatra,POINT (99.14225954542087 2.301189897143239)
Himalayan tribal Christianity (and tribal-allied groups),POINT (86.27846905560862 28.9585413035885)
Korea,POINT (127.60259150156679 38.249397272848476)
Mongolia during the revolutionary period.,POINT (103.05514632240398 46.84113434017635)
Musawwarat es-Sufra,POINT (33.328957810469866 16.409266607621714)
Abujhmar hills of Bastar State,POINT (81.80973282776456 19.042229827551314)
Anglican Communion,POINT (53.28423741235845 14.119160937373875)
Kurangun,POINT (51.461186887873346 30.245054888014078)
Northern Wei and Liu Song Dynasties,POINT (109.35068564548672 32.56099808384946)
United States,POINT (-98.76323952248481 39.2709376391838)
Mesopotamia,POINT (43.29472467005164 32.85569573121933)
"Northern Luzon, Philippines",POINT (121.48987178003456 17.054327785056984)
Early and early imperial China,POINT (111.33930651479918 31.06880994725339)
Alice Springs and environs,POINT (133.67076905792123 -23.531581636775293)
"Asoda, Maharashtra, India",POINT (76.09012327364007 19.43139037738346)
Eleusinion,POINT (23.725143926477525 37.973338112948284)
Karaplas/Alogopati,POINT (22.344755961562406 39.276841739672676)
Al-Andalus,POINT (-4.191369973574554 39.03357377407124)
Nepal and North India,POINT (48.98436099999999 42.053419)
Sparta,POINT (22.46312988300664 37.05956090225895)
Sirionó,POINT (-63.65540968434521 -14.282085171924725)
Tibetan Plateau.,POINT (91.85110089481807 32.855586802391784)
Northern Saulteaux,POINT (-96.00868647895587 51.817378479494884)
"Niger River, West Africa",POINT (-7.205739039260736 13.061285694828102)
Tamil Nadu,POINT (78.28003504939447 10.735677661487069)
Jivaro,POINT (-79.01806981676647 -4.166050787350329)
Bengal,POINT (89.78011182829117 23.094057360543236)
Syria,POINT (38.53970872779299 35.01137861045858)
"North America, South America, Caribbean, South Asia, Africa, Europe",POINT (-65.5517779756551 42.858889441773414)
Abydos Old Kingdom Temple Precinct,POINT (31.9102146297506 26.192485179321743)
Peregrine_NorthAfricanProtoHistoric,POINT (8.081236341757167 28.40432161720489)
Regions that potentially received the Wuzhen pian in the Song dynasty,POINT (110.69755783386437 28.92796822886565)
Chao Phraya (Menam) River Alluvial Plain,POINT (100.70498662385639 13.843692011848242)
"Thessaloniki, Greece",POINT (22.947965995401898 40.63501339021979)
Elam,POINT (54.48510060122421 30.231333346681694)
Lan Na (Northern Thailand),POINT (99.37462050179427 19.34904888042124)
"Bau Island, Fiji",POINT (178.61545921040909 -17.972305120223723)
Thailand,POINT (101.01767642737396 15.123701052258266)
Anyang,POINT (114.32457819589911 36.12191635227772)
Pauline Christianity (Undisputed Letters) - Final,POINT (27.634357331713083 39.8756962744821)
North China,POINT (114.70661534848544 36.07937956594118)
"Roman Republic, pre-Punic Wars (i.e. Sicily, Sardinia, and Corsica excluded)",POINT (12.171372395040542 43.51345476277108)
Choson Dynasty,POINT (127.40058595256363 38.37579524664985)
Active regions of Song Chan Buddhism,POINT (114.84421110328339 30.55871786623693)
Gortyn,POINT (24.95031575965227 35.060242656029146)
"Normandy, British Isles",POINT (-1.426092726323449 51.739179396123866)
Leinster and East Munster,POINT (-7.285317670514735 52.580590025226506)
Global Smooth,POINT (17.82977236355755 7.002133076048156)
People's Republic of China,POINT (103.86357929927335 36.5899929034255)
"Central Macedonia, Greece",POINT (23.30446864885649 40.51238549626873)
"Kumasi, Ashanti Region, Ghana, ca. 1895",POINT (-1.6163097602957996 6.624626884721559)
Maharashtra_India,POINT (76.1088050497677 19.4534752313843)
Northwestern Laos,POINT (100.96118783729392 20.37199039553625)
Makalorema,POINT (22.74232479711016 39.38939903347124)
Warring States China,POINT (113.7829880860312 34.0510675827625)
South India and Maharashtra,POINT (77.43878991962313 16.159429266480366)
Greater Bengali Region,POINT (86.40756851799978 23.89693031883117)
Urartu,POINT (43.2802278280372 39.2124258914025)
"Psychro Cave, Lasithi Plain",POINT (25.445230300495666 35.162582384138794)
Mongolia,POINT (103.05061585091005 46.803712181069756)
Judea and Cairo,POINT (34.43157515517255 31.352306974336702)
Western Han - 202 BCE - 9 CE,POINT (102.44256834960069 35.30086921897428)
Area of the places mentioned in the Ji shenzhou sanbao gantong lu,POINT (113.23636661506768 35.077836143300786)
Samuha,POINT (36.5276491500316 39.62111943400624)
Cayapa,POINT (-79.03609967942623 0.7879668575627286)
"New York, California (predominately among a new generation of White, bohemian, writers and artists in New York City and San Francisco)",POINT (-112.07053103913978 40.51902578559618)
"Fort Hall or Metume District, Kenya, ca. 1920",POINT (37.53496827225617 -0.5633280476520243)
Mapuche,POINT (-65.80275865703345 -39.3562817207023)
South Korea,POINT (127.78125754698627 36.328258315602866)
Early Khalsa Sikhs,POINT (75.92834652710322 30.560935665532398)
Mysore District,POINT (76.64146329544428 12.244843396561937)
România,POINT (24.975919821804887 45.84646154081236)
"Mohla Village, Gujrat District, Pakistan ca. 1950",POINT (74.0691102171862 32.498804972507905)
Ukraine,POINT (31.42444847819594 48.99817771893626)
Dornogovi province Mongolia,POINT (110.46695661363877 44.47327196429677)
"Tsonga lands, Ronga group ca. 1895",POINT (32.51552022033091 -26.97165035542821)
Fiji,POINT (1.257537995456603 -16.502859914388093)
Coastal West Africa,POINT (2.3631477605157443 7.4548928596638975)
2020 Mennonite World Conference Membership,POINT (-99.3699083550753 48.51288371199346)
Beijing-Huguang region,POINT (116.27718841227092 34.84650203970774)
Area of Quanzhen,POINT (111.60435823947475 35.79130154105949)
Syria: Iraq Border to Deir ez-Zur,POINT (40.71765428069499 35.46491374532994)
Rome,POINT (12.48901596045906 41.89189579913912)
Jiangsu Province,POINT (119.7012611608545 32.79736160299148)
Italy and the Catholic Church,POINT (11.922345457600887 42.69555329038482)
Ppo Romé Temple-Tower Devotees,POINT (108.90009424010711 11.558977072513906)
"North America, South America, Caribbean, Asia, Africa, Europe",POINT (-64.6888478219242 33.7970553102354)
Global Digital Shinto Communities Network,POINT (-52.45006461003515 -9.155951974446577)
Nichibeizan Sо̄kо̄ji (日米山桑港寺),POINT (-122.42860154039187 37.786460592202125)
Countries with significant Muscular Christian presence.,POINT (-61.976198315145524 20.957404792043995)
Barama River Carib,POINT (-60.67862064040259 7.566299999278592)
Ancient Mediterranean,POINT (23.42764449959907 36.770914423596906)
Peregrine_Wilton_6000,POINT (24.807048921799133 -29.876607051113997)
Middle + Lower Yellow River Valley,POINT (115.49921513319043 35.796757867234795)
Deir el-Bahari,POINT (32.60675475111841 25.7375584928091)
Hephaisteion,POINT (23.721486562377795 37.97559802318267)
The Pachomian Monastic Federation,POINT (32.26926199097579 26.135041417939462)
NileValley,POINT (31.737337063859133 26.64057253186513)
Central and Southern Vietnam,POINT (108.30522720584018 15.675166683058475)
Monotheistic South Arabia,POINT (45.25628906995836 15.525971042756616)
ancient medina of Tunis,POINT (10.168875290424188 36.797830954756435)
Central Java,POINT (110.83849783842535 -6.806678172085891)
Western India,POINT (75.43246443707521 23.067189540532336)
Callinago,POINT (-61.27706171133208 15.41991200193484)
Tanna Island,POINT (169.37802630882163 -19.513771692714247)
Chang´an-Mount Zhongnan-Luoyang-Caozhou,POINT (109.96091128920722 34.41713672971578)
Klamath region,POINT (-121.64455107670892 42.67571019706146)
Java,POINT (110.62773035172268 -6.890707934178954)
"Methoni, Peloponnese, south-western Greece",POINT (21.704084743730007 36.85788648629035)
"Metropolitan China, Hong Kong S.A.R., and Taiwan",POINT (119.2276669456197 28.549481012630352)
"Transnational Cybersect, East/Southeast Asia, California (predominately among Chinese and Vietnamese diasporic communities)",POINT (107.39232081284214 23.959287845315846)
Shanghai Museum (Shanghai Bowuguan 上海博物館),POINT (121.47543146040555 31.22829444342144)
Mawangdui Han Tombs,POINT (113.03357379492029 28.204167850206627)
Rio Cayapas drainage,POINT (-78.96522525196046 0.9740976041186947)
Petsofas,POINT (26.2789515745684 35.18675852840153)
Edom and its environs,POINT (36.4792610415381 28.129073571018555)
Bella Coola Valley Area,POINT (-127.0016318154292 52.216292323063314)
Japan - Early Medieval (from the 10th to 14th century),POINT (136.12661709196374 35.67703090800878)
India,POINT (78.27485542383276 22.904221471052296)
Croatia,POINT (16.078812347525037 44.62788743367765)
Altiplano central,POINT (-99.4780032868119 19.189454003944125)
"Hmong-Miao speakers in Southern China, Southeast Asia and the US and French diasporas",POINT (14.136718859699624 32.93941871997938)
The Roman Vasco-Aquitanian Pyrenees and Vasconic Hinterland,POINT (-0.3783737462362561 43.14499777362247)
"Village of Nondwin, Sagaing Region, Burma",POINT (95.71598555710594 21.98354751164394)
Temple at Tel Arad,POINT (35.12609627935398 31.280827249480815)
Tiv settlements of Benue province,POINT (8.736231677493942 7.518110538012181)
Peregrine_Sahara-SudaneseNeolithic_6000,POINT (7.769754736518418 18.379334619585926)
Urfa region,POINT (38.91645721940608 37.222994069723036)
Jerusalem and environs,POINT (35.17341096746023 31.75535517425379)
Comanche-occupied southern Great Plains ca. 1870,POINT (-100.95792007043171 35.75524343470835)
Island of Tikopia,POINT (168.83480645193953 -12.301635776920847)
Western Zhou (based on Li Feng),POINT (114.6177053011867 34.98892671513566)
"Southeast Asia, Cambodia",POINT (104.76382885828104 11.824364656201405)
USA,POINT (-96.6817021655705 38.27318914435603)
Pharsalos Metroon,POINT (22.39057933333333 39.293928)
Mysore,POINT (76.37137579052786 13.276113700345459)
Area of shuzi gua material,POINT (116.80676314730182 34.023559881004374)
Southern Italy and Greece,POINT (22.935314339188825 36.47895025571071)
Buka,POINT (154.69686328450663 -5.349065439351951)
Three Tianzhu Monasteries,POINT (120.09643361029974 30.229325858659124)
Attica,POINT (23.75749423379709 38.05734424270011)
Paraguayan Chaco,POINT (-59.15376635863386 -23.390025500738442)
Valley of Mexico,POINT (-99.16879568794371 19.533358602747253)
Upolu Island,POINT (-171.76289053354222 -13.934026025834955)
Yanomamo,POINT (-63.85691685417154 3.224327741520358)
"Central Highlands of Irian Jaya, Indonesia",POINT (136.2168628671111 -3.7640964954458735)
Delphi,POINT (22.499907107531758 38.483330225193725)
Upper Liard River,POINT (-126.33009984616744 60.01912418446934)
Tibet and the Himalayas,POINT (91.67768815273485 32.79192908466226)
Temple of Apollo: Syracuse,POINT (15.292945099906303 37.06401160881109)
"Fufeng County outside of Xi'an, Shaanxi Province",POINT (107.89214540108651 34.43359070783547)
Pre-modern China,POINT (107.56343554811313 33.83886175922634)
Edom,POINT (35.28116046138868 30.321697019667464)
The Church of the Holy Sepulchre,POINT (35.229859544476874 31.77838590816652)
Unitarian Univeralist Organizations,POINT (-226.87306295626428 205.39544007158406)
Runan,POINT (112.36962552482484 34.65358346916832)
"Trumai village of Vanivani, central Mato Grosso State, Brazil",POINT (-53.66248611799711 -11.849147205545098)
Marathon,POINT (23.978894196465955 38.10281927699)
Central Asia,POINT (69.32388133837634 36.30603822136851)
Orphic Lamellae,POINT (20.610091899296076 40.12725822461537)
"Sarawak, Borneo Island",POINT (113.25717348280412 2.579065296472795)
Braj and surrounding regions,POINT (76.18052498480895 26.272567841389048)
"Mekeo, Kairuku, Central District, New Guinea",POINT (146.60847453345087 -8.531999649222117)
The City-State of Ugarit,POINT (35.88338633111698 35.53017868084262)
Cham Bani Communities,POINT (108.1007849202136 11.273790502268607)
Volta River basin of Northern Ghana,POINT (-0.6955268846236087 10.414826421491258)
Primarily North America and Japan,POINT (-78.93271201914702 39.49913008218515)
Ugarit,POINT (36.056160451653234 35.60310922029653)
Indian Subcontinent,POINT (83.50188001161094 24.005022118309)
Beni Hassan,POINT (30.874479152075622 27.929516434638167)
Liang Dynasty China,POINT (110.56641813674241 27.198394343683898)
Ostia Antica,POINT (12.290890849446665 41.754085257910816)
Cham H'roi,POINT (108.99722503683222 13.44018233874187)
Area of Circulation for the Taijitu Shuo and Tongshu (East Asia),POINT (109.54274301845908 35.782238848164276)
Ephesus,POINT (27.345326609852812 37.94118047932191)
Singapore,POINT (103.8227977014612 1.3289227109934318)
Roman Palestine,POINT (35.44290605690668 32.212825595455136)
"Constantinople, c790CE-1450CE",POINT (28.928348330522727 40.99585044220202)
Abipon,POINT (-62.422743080911914 -27.95608434457523)
"Ambunti Sub-Province, Sepik River region, Papua New Guinea",POINT (143.53281457430418 -4.126914158862836)
Fort Belknap Reservation and Gros Ventre lands,POINT (-108.64797638720307 48.20947601428214)
Cuna,POINT (-78.04256391435234 9.15393837391304)
Dobu Island,POINT (150.86550075402192 -9.75879723259796)
Nestorian Christianity,POINT (84.62313683559583 33.94200458995434)
Vicinity of Temuco,POINT (-72.57408154099073 -38.78320534988569)
Temple Precinct,POINT (31.91022576790849 26.192456914905037)
Edessa,POINT (39.07302 37.55123400000001)
Shandong and Jiangnan,POINT (119.09837025304408 33.318915870333875)
Nepal and parts of North India,POINT (82.43153842787653 28.370898282689435)
Tell Qasile,POINT (34.79481271157818 32.10167781803182)
Cultural Tibet and the diaspora,POINT (90.69604037678393 32.587774030665045)
Bogomil Heartland,POINT (24.365676163962664 42.24763940263337)
Tamil South India,POINT (78.66032228181416 10.981148278547773)
"Jingmen, Hubei Province, China",POINT (112.76352185570973 30.42194678379019)
"Melanesia, Micronesia, and Polynesia",POINT (-41.90433848436276 -9.11899674726509)
Temple of Thutmose III,POINT (32.61311225439815 25.72993340667731)
Tang Dynasty China,POINT (108.8612001735015 35.171965692095284)
"Haryana, Rajasthan, and Eastern Uttar Pradesh, North India",POINT (77.53620256665951 27.46471110444492)
"La Alcudia, Spain",POINT (-0.6961386898485894 38.237874474016486)
"Vicinity of the town of Bo, Sierra Leone",POINT (-11.707013575634537 7.938139960509147)
Kuy-language speakers in mainland Southeast Asia,POINT (104.67855617956039 14.398673903185141)
Qasr al-Bint,POINT (35.440102808745365 30.329457899204172)
Amdo,POINT (97.4217765682345 35.42128259501895)
Kom Bawit,POINT (30.707642372399548 27.551432939094376)
"Soteapan, Veracruz, Mexico",POINT (-94.8701760788207 18.22839750851047)
"Amathous, Cyprus",POINT (33.14248246146421 34.71320716568161)
"Mawangdui  馬王堆, Changsha 長沙, Hunan 湖南",POINT (113.02737630210987 28.205472536888823)
Aweikoma,POINT (-50.46430209376715 -27.25199991834898)
Abkhazian,POINT (41.20650958203454 43.16395015803333)
Zhejiang; Shanxi,POINT (114.63803022896778 34.92347209544152)
"Gresik, East Java",POINT (112.6259774516311 -7.166179903511824)
"Coronation Gulf Region of Nunavut, Canada",POINT (-111.93275094416 68.32291585484387)
Gaddis of the Western Himalayas -- Modern Period,POINT (76.3452344580681 32.67188117581257)
Nunatsiavut and Labrador,POINT (-60.087905000000006 56.117954)
"Africa, Egypt",POINT (29.260306776965766 26.29216273028896)
Theban necropolis,POINT (32.60437174712851 25.735586216975808)
"Gowa Regency, South Sulawesi, Indonesia",POINT (119.7090632439303 -5.279920787561961)
Yolngu,POINT (135.98441765872474 -12.446953921677704)
Trobriand Islands,POINT (151.09079982523525 -8.577646084394235)
Western Coast of India,POINT (74.35169141543783 14.990313413582284)
"Miaotou Village, Huangpu District, Guangzhou",POINT (113.49642217120197 23.080402112638)
Present-day Zapotec-speaking peoples in Oaxaca,POINT (-96.01721835782999 16.583779013444946)
Peregrine_EarlyDynasticEgypt,POINT (31.62295404957168 25.64245128576484)
"Canella territory, Brazil, ca. 1915",POINT (-45.52451137784459 -3.995948664141178)
Temples of Abu Simbel,POINT (31.625225607334126 22.33715169740545)
Karnak Temple Region,POINT (32.65721937987789 25.72031939881413)
China proper,POINT (107.64497263223126 31.87347405908485)
Ireland,POINT (-7.883147302564396 53.37547815080312)
Bali,POINT (115.12223120833363 -8.427124802211889)
Magna Graecia,POINT (16.37103518920882 39.64877320492806)
Tell el-Dab'a,POINT (31.818229195038477 30.793063451028463)
Northern Hejaz,POINT (36.625772363346925 27.768677208858286)
"Alexandria and the Nile, Rome, Antioch and environs, etc.",POINT (31.213498115469125 32.50044250477058)
Seneca Reservations (1797),POINT (-78.80917025823936 42.09354925583055)
"Đồng Dương, present-day Bình Định, Vietnam",POINT (108.30522720584018 15.675166683058475)
Region of New Zealand,POINT (172.2339900276629 -42.04112141990303)
Japan - Early Medieval (from the 10th to the 14th century),POINT (137.2338117443281 35.258874562617436)
"Amarna, private chapels at the Workmen's Village",POINT (30.912443097606335 27.63380923499495)
Hanzhong 漢中 movement to the North and the Central Plain,POINT (111.03091790856965 34.760069686035926)
"Village of Peri, Manus Province, Papua New Guinea",POINT (147.00124460689844 -2.0985318343942647)
Europe,POINT (13.893671854599159 51.79682911055227)
Greece,POINT (21.69558009365408 36.91146911831261)
Haida Gwaii,POINT (-131.91734493966248 53.36673591093725)
Japan (Modern Boundaries),POINT (138.0223447102762 37.59402723716708)
"Regions of nowadays India, Pakistan, and Nepal",POINT (77.10617690306051 23.605962658133105)
"Luo River, Yellow River Valley, Henan Province",POINT (112.76493682692065 34.72322775037231)
Kairouan,POINT (10.090374590830613 35.68212627885813)
Poyang Lake Area,POINT (116.30247928842863 29.069114315873673)
East Java Province,POINT (112.74692879581787 -7.745268549520449)
"South Tombs Cemetery, Amarna",POINT (30.916653218327095 27.60914716033235)
Kyaddondo District,POINT (32.5393513538149 0.3738763681934735)
"India, Jharkhand",POINT (0.2410029999999992 50.804766)
"East Java, Indonesia",POINT (112.3892823410666 -6.891297967868469)
